,date,open,close,high,low,volume,code
68,2019-04-16,3164.4,3253.6,3253.6,3153.21,357918752.0,sh
69,2019-04-17,3250.15,3263.12,3275.33,3239.8,357541796.0,sh
70,2019-04-18,3261.07,3250.2,3271.39,3241.83,325539942.0,sh
71,2019-04-19,3250.15,3270.8,3274.33,3226.81,315198004.0,sh
72,2019-04-22,3278.49,3215.04,3279.49,3206.88,353217387.0,sh
73,2019-04-23,3211.87,3198.59,3231.58,3186.76,328361207.0,sh
74,2019-04-24,3203.56,3201.61,3210.65,3156.61,274872164.0,sh
75,2019-04-25,3190.59,3123.83,3193.75,3123.03,325879129.0,sh
76,2019-04-26,3108.16,3086.4,3129.21,3085.8,280873854.0,sh
77,2019-04-29,3090.63,3062.5,3107.76,3050.03,292114886.0,sh
78,2019-04-30,3052.62,3078.34,3088.41,3052.62,222302517.0,sh
79,2019-05-06,2984.73,2906.46,2986.54,2876.47,326972269.0,sh
80,2019-05-07,2914.29,2926.39,2937.28,2889.07,253281769.0,sh
81,2019-05-08,2873.14,2893.76,2929.43,2866.7,231530519.0,sh
82,2019-05-09,2871.2,2850.95,2888.86,2845.04,200041133.0,sh
83,2019-05-10,2878.23,2939.21,2941.45,2838.38,282306808.0,sh
84,2019-05-13,2905.07,2903.71,2921.41,2892.17,212029882.0,sh
85,2019-05-14,2872.83,2883.61,2909.2,2872.83,208345353.0,sh
86,2019-05-15,2902.64,2938.68,2945.39,2902.64,230519701.0,sh
87,2019-05-16,2933.5,2955.71,2956.17,2929.06,248385701.0,sh
88,2019-05-17,2955.77,2882.3,2956.78,2873.8,266301643.0,sh
89,2019-05-20,2874.8,2870.6,2882.63,2838.45,209472442.0,sh
90,2019-05-21,2867.71,2905.97,2919.24,2862.5,211387022.0,sh
91,2019-05-22,2905.52,2891.7,2912.4,2879.64,200026905.0,sh
92,2019-05-23,2880.84,2852.52,2885.14,2846.96,197340309.0,sh
93,2019-05-24,2847.84,2852.99,2871.86,2846.02,167205490.0,sh
94,2019-05-27,2851.28,2892.38,2898.13,2833.04,196720902.0,sh
95,2019-05-28,2890.27,2909.91,2924.04,2887.08,223310557.0,sh
96,2019-05-29,2894.83,2914.7,2934.98,2890.66,198958821.0,sh
97,2019-05-30,2903.42,2905.81,2907.85,2881.38,205758789.0,sh
98,2019-05-31,2904.5,2898.7,2922.91,2895.58,195230580.0,sh
99,2019-06-03,2901.74,2890.08,2920.83,2875.9,215943554.0,sh
100,2019-06-04,2887.64,2862.28,2888.39,2851.97,188463541.0,sh
101,2019-06-05,2882.94,2861.42,2888.77,2858.57,181561047.0,sh
102,2019-06-06,2862.33,2827.8,2862.33,2822.19,177064411.0,sh
103,2019-06-10,2833.01,2852.13,2861.13,2824.36,166585918.0,sh
104,2019-06-11,2854.07,2925.72,2927.43,2854.07,260525796.0,sh
105,2019-06-12,2917.22,2909.38,2924.7,2903.88,240255775.0,sh
106,2019-06-13,2905.29,2910.74,2918.42,2885.92,212957791.0,sh
107,2019-06-14,2913.0,2881.97,2924.32,2879.66,215435796.0,sh
108,2019-06-17,2880.42,2887.62,2902.48,2877.39,153964960.0,sh
109,2019-06-18,2891.09,2890.16,2898.33,2874.31,147705320.0,sh
110,2019-06-19,2944.12,2917.8,2953.34,2916.21,230756973.0,sh
111,2019-06-20,2917.33,2987.12,2997.39,2915.09,291011537.0,sh
112,2019-06-21,2990.37,3001.98,3010.35,2989.25,286973835.0,sh
113,2019-06-24,3004.29,3008.15,3012.83,2994.42,210493894.0,sh
114,2019-06-25,3004.91,2982.07,3004.91,2948.99,243699244.0,sh
115,2019-06-26,2964.62,2976.28,2986.91,2958.46,174449533.0,sh
116,2019-06-27,2982.61,2996.79,3011.54,2981.04,195397049.0,sh
117,2019-06-28,2992.24,2978.88,2992.24,2961.22,181431523.0,sh
118,2019-07-01,3024.62,3044.9,3045.37,3014.69,250840433.0,sh
119,2019-07-02,3042.58,3043.94,3048.48,3033.78,214520624.0,sh
120,2019-07-03,3031.83,3015.26,3031.83,3006.32,212296173.0,sh
121,2019-07-04,3015.68,3005.25,3024.5,2991.91,194415133.0,sh
122,2019-07-05,3004.74,3011.06,3014.85,2990.92,156755429.0,sh
123,2019-07-08,2997.81,2933.36,2997.81,2918.72,211541268.0,sh
124,2019-07-09,2928.82,2928.23,2937.76,2912.81,145110604.0,sh
125,2019-07-10,2935.19,2915.3,2936.75,2908.16,135483538.0,sh
126,2019-07-11,2928.06,2917.76,2945.8,2907.89,143692522.0,sh
127,2019-07-12,2915.34,2930.55,2938.53,2905.81,137794759.0,sh
128,2019-07-15,2921.55,2942.19,2955.0,2886.7,167643397.0,sh
129,2019-07-16,2938.64,2937.62,2944.82,2931.29,131811751.0,sh
